,Datum,Grad,Proizvod,Cena_RSD,Količina,Zarada
497,2025-08-29,Beograd,Tastatura,19176,1,19176
498,2025-02-20,Novi Sad,Tastatura,87259,8,698072
499,2025-06-20,Kragujevac,Tastatura,78871,5,394355
500,2025-09-05,Kragujevac,Laptop,98909,9,890181
501,2025-02-02,Kragujevac,Tastatura,110313,5,551565
502,2025-12-19,Beograd,Miš,91299,7,639093
503,2025-05-02,Kragujevac,Miš,119093,8,952744
504,2025-05-07,Beograd,Laptop,59719,5,298595
505,2025-11-28,Beograd,Monitor,113662,3,340986
506,2025-12-15,Beograd,Laptop,28446,1,28446
507,2025-04-14,Novi Sad,Laptop,114452,9,1030068
508,2025-08-04,Niš,Slušalice,44218,2,88436
509,2025-05-26,Niš,Slušalice,32205,2,64410
510,2025-03-26,Beograd,Monitor,77989,9,701901
511,2025-10-17,Kragujevac,Miš,74469,5,372345
512,2025-04-14,Beograd,Miš,115191,4,460764
513,2025-11-09,Niš,Miš,133686,6,802116
514,2025-04-14,Niš,Slušalice,51513,7,360591
515,2025-05-24,Niš,Slušalice,85173,5,425865
516,2025-08-23,Niš,Monitor,83173,8,665384
517,2025-05-11,Beograd,Tastatura,56101,3,168303
518,2025-07-20,Novi Sad,Tastatura,56254,7,393778
519,2025-12-12,Kragujevac,Slušalice,32742,8,261936
520,2025-12-30,Kragujevac,Monitor,111976,7,783832
521,2025-01-13,Kragujevac,Miš,27862,6,167172
522,2025-01-02,Novi Sad,Monitor,72540,8,580320
523,2025-05-18,Beograd,Tastatura,46226,9,416034
524,2025-10-21,Beograd,Slušalice,122019,9,1098171
525,2025-08-11,Novi Sad,Miš,70653,3,211959
526,2025-04-14,Beograd,Monitor,124540,4,498160
527,2025-03-22,Novi Sad,Monitor,102353,1,102353
528,2025-07-04,Kragujevac,Tastatura,104563,8,836504
529,2025-03-01,Novi Sad,Tastatura,91769,5,458845
530,2025-01-08,Niš,Tastatura,79827,1,79827
531,2025-04-08,Niš,Laptop,42327,2,84654
532,2025-05-03,Niš,Miš,33787,6,202722
533,2025-09-18,Niš,Laptop,23787,6,142722
534,2025-01-01,Niš,Laptop,55426,9,498834
535,2025-11-15,Niš,Monitor,34400,2,68800
536,2025-11-25,Novi Sad,Monitor,146006,6,876036
537,2025-11-06,Beograd,Monitor,115838,4,463352
538,2025-01-21,Novi Sad,Monitor,43757,5,218785
539,2025-05-09,Novi Sad,Tastatura,107264,6,643584
540,2025-07-29,Beograd,Laptop,19276,2,38552
541,2025-04-20,Kragujevac,Slušalice,139450,5,697250
542,2025-02-04,Kragujevac,Monitor,93841,8,750728
543,2025-09-15,Novi Sad,Laptop,63996,9,575964
544,2025-05-19,Novi Sad,Slušalice,46666,2,93332
545,2025-08-24,Niš,Tastatura,4421,1,4421
546,2025-11-12,Niš,Slušalice,75023,5,375115
547,2025-09-11,Niš,Tastatura,84723,2,169446
548,2025-09-30,Kragujevac,Slušalice,60409,5,302045
549,2025-11-28,Beograd,Monitor,125398,3,376194
550,2025-01-29,Novi Sad,Laptop,60025,8,480200
551,2025-10-30,Kragujevac,Miš,76304,3,228912
552,2025-08-29,Beograd,Miš,123993,1,123993
553,2025-04-22,Niš,Laptop,25180,8,201440
554,2025-09-04,Kragujevac,Slušalice,109844,5,549220
555,2025-07-24,Kragujevac,Miš,36228,2,72456
556,2025-04-23,Beograd,Slušalice,26386,7,184702
557,2025-01-21,Niš,Tastatura,148089,5,740445
558,2025-12-30,Novi Sad,Slušalice,107534,9,967806
559,2025-11-04,Kragujevac,Miš,94834,5,474170
560,2025-08-17,Niš,Laptop,142916,9,1286244
561,2025-08-17,Novi Sad,Laptop,61605,5,308025
562,2025-07-14,Kragujevac,Laptop,63264,2,126528
563,2025-07-29,Beograd,Tastatura,118506,3,355518
564,2025-09-24,Niš,Slušalice,59576,5,297880
565,2025-05-13,Niš,Slušalice,54538,3,163614
566,2025-01-28,Novi Sad,Slušalice,75079,5,375395
567,2025-08-08,Kragujevac,Slušalice,31090,6,186540
568,2025-04-22,Novi Sad,Miš,102028,5,510140
569,2025-03-15,Novi Sad,Miš,74058,3,222174
570,2025-07-25,Beograd,Monitor,84592,4,338368
571,2025-05-14,Beograd,Laptop,43283,9,389547
572,2025-05-27,Novi Sad,Laptop,117253,5,586265
573,2025-10-15,Beograd,Laptop,97842,7,684894
574,2025-03-29,Kragujevac,Tastatura,53496,1,53496
575,2025-10-24,Niš,Monitor,69547,7,486829
576,2025-04-09,Novi Sad,Monitor,83385,4,333540
577,2025-03-18,Beograd,Miš,135036,4,540144
578,2025-10-19,Novi Sad,Slušalice,53585,6,321510
579,2025-11-29,Niš,Laptop,104696,9,942264
580,2025-03-18,Niš,Monitor,103550,4,414200
581,2025-04-25,Beograd,Slušalice,149455,5,747275
582,2025-04-06,Kragujevac,Tastatura,12351,9,111159
583,2025-02-22,Beograd,Miš,36993,2,73986
584,2025-11-25,Kragujevac,Monitor,5483,2,10966
585,2025-03-04,Beograd,Monitor,67573,9,608157
586,2025-05-10,Novi Sad,Miš,70297,7,492079
587,2025-11-07,Beograd,Miš,31737,7,222159
588,2025-12-31,Niš,Laptop,110457,6,662742
589,2025-07-19,Niš,Monitor,78664,5,393320
590,2025-09-05,Kragujevac,Slušalice,64925,2,129850
591,2025-07-17,Kragujevac,Miš,126319,2,252638
592,2025-05-02,Kragujevac,Monitor,137887,9,1240983
593,2025-05-30,Kragujevac,Laptop,123000,9,1107000
594,2025-06-05,Novi Sad,Monitor,64602,8,516816
595,2025-12-24,Niš,Monitor,37286,9,335574
596,2025-01-04,Kragujevac,Monitor,62391,3,187173
597,2025-04-12,Niš,Miš,102417,7,716919
598,2025-03-04,Beograd,Miš,129443,5,647215
599,2025-06-02,Beograd,Laptop,70047,9,630423
600,2025-04-20,Niš,Miš,84089,4,336356
601,2025-09-08,Kragujevac,Tastatura,116954,4,467816
602,2025-05-20,Novi Sad,Tastatura,6503,5,32515
603,2025-05-26,Niš,Laptop,49549,5,247745
604,2025-08-06,Niš,Slušalice,23151,1,23151
605,2025-01-18,Kragujevac,Laptop,57788,4,231152
606,2025-12-20,Kragujevac,Miš,48341,8,386728
607,2025-12-05,Beograd,Monitor,68955,7,482685
608,2025-08-17,Novi Sad,Slušalice,140430,9,1263870
609,2025-01-14,Beograd,Laptop,118664,4,474656
610,2025-01-23,Kragujevac,Miš,31396,7,219772
611,2025-02-26,Kragujevac,Monitor,9598,1,9598
612,2025-04-21,Beograd,Slušalice,46625,5,233125
613,2025-05-14,Niš,Laptop,87526,1,87526
614,2025-07-28,Kragujevac,Slušalice,39363,1,39363
615,2025-01-26,Niš,Tastatura,117931,8,943448
616,2025-12-08,Beograd,Tastatura,2899,8,23192
617,2025-10-02,Niš,Slušalice,104187,1,104187
618,2025-12-07,Novi Sad,Monitor,83617,7,585319
619,2025-06-29,Kragujevac,Laptop,38434,4,153736
620,2025-07-08,Novi Sad,Monitor,106059,7,742413
621,2025-06-29,Niš,Laptop,33917,4,135668
622,2025-10-26,Beograd,Miš,142659,2,285318
623,2025-10-28,Niš,Miš,26293,5,131465
624,2025-10-21,Beograd,Slušalice,19031,1,19031
625,2025-01-02,Niš,Miš,46040,6,276240
626,2025-02-11,Beograd,Miš,41548,3,124644
627,2025-06-17,Beograd,Monitor,94332,4,377328
628,2025-05-28,Beograd,Tastatura,134859,5,674295
629,2025-10-26,Niš,Slušalice,95298,7,667086
630,2025-05-18,Beograd,Miš,63596,1,63596
631,2025-07-07,Novi Sad,Tastatura,112467,7,787269
632,2025-02-28,Niš,Slušalice,141566,3,424698
633,2025-12-09,Novi Sad,Slušalice,51287,1,51287
634,2025-07-18,Niš,Slušalice,42167,9,379503
635,2025-03-15,Beograd,Monitor,62777,6,376662
636,2025-02-02,Novi Sad,Slušalice,129820,4,519280
637,2025-07-22,Kragujevac,Monitor,59655,5,298275
638,2025-08-19,Niš,Slušalice,115593,5,577965
639,2025-04-23,Kragujevac,Monitor,52796,7,369572
640,2025-08-10,Beograd,Laptop,112197,4,448788
641,2025-10-03,Novi Sad,Slušalice,133223,6,799338
642,2025-06-20,Niš,Monitor,71033,2,142066
643,2025-11-27,Niš,Tastatura,119069,4,476276
644,2025-09-24,Niš,Slušalice,66722,9,600498
645,2025-04-14,Niš,Tastatura,88243,5,441215
646,2025-03-11,Kragujevac,Slušalice,2517,1,2517
647,2025-07-19,Beograd,Laptop,25336,4,101344
648,2025-09-09,Niš,Slušalice,104045,7,728315
649,2025-07-15,Niš,Laptop,29555,3,88665
650,2025-06-30,Niš,Tastatura,85824,4,343296
651,2025-05-20,Kragujevac,Tastatura,52346,1,52346
652,2025-10-01,Novi Sad,Slušalice,8394,5,41970
653,2025-09-22,Beograd,Miš,90478,2,180956
654,2025-02-13,Beograd,Monitor,75694,9,681246
655,2025-07-04,Niš,Laptop,120959,8,967672
656,2025-04-11,Kragujevac,Laptop,138907,9,1250163
657,2025-09-20,Kragujevac,Tastatura,4362,1,4362
658,2025-02-19,Novi Sad,Laptop,81668,2,163336
659,2025-12-24,Beograd,Tastatura,30824,1,30824
660,2025-04-13,Niš,Miš,119834,5,599170
661,2025-04-21,Niš,Laptop,31173,4,124692
662,2025-12-20,Novi Sad,Tastatura,9765,8,78120
663,2025-02-03,Novi Sad,Miš,6548,2,13096
664,2025-08-21,Beograd,Monitor,112452,3,337356
665,2025-10-26,Kragujevac,Monitor,45655,9,410895
666,2025-06-02,Kragujevac,Slušalice,38787,1,38787
667,2025-06-15,Beograd,Tastatura,14880,7,104160
668,2025-02-01,Novi Sad,Tastatura,112371,5,561855
669,2025-08-27,Niš,Tastatura,136484,9,1228356
670,2025-10-11,Kragujevac,Monitor,138065,7,966455
671,2025-12-21,Niš,Miš,28409,4,113636
672,2025-08-26,Kragujevac,Slušalice,92312,5,461560
673,2025-08-12,Niš,Laptop,84090,3,252270
674,2025-07-21,Niš,Monitor,53464,8,427712
675,2025-07-14,Novi Sad,Monitor,128618,4,514472
676,2025-02-03,Novi Sad,Miš,49830,3,149490
677,2025-03-11,Beograd,Monitor,7950,3,23850
678,2025-03-25,Niš,Tastatura,132706,6,796236
679,2025-08-24,Kragujevac,Monitor,134370,7,940590
680,2025-04-16,Novi Sad,Tastatura,8928,5,44640
681,2025-03-17,Beograd,Slušalice,61434,1,61434
682,2025-10-19,Novi Sad,Slušalice,66773,1,66773
683,2025-06-17,Novi Sad,Monitor,17544,6,105264
684,2025-04-06,Beograd,Miš,122401,8,979208
685,2025-03-30,Niš,Tastatura,114269,4,457076
686,2025-03-22,Beograd,Tastatura,86934,2,173868
687,2025-12-24,Novi Sad,Miš,84159,7,589113
688,2025-01-30,Novi Sad,Miš,99744,8,797952
689,2025-04-12,Beograd,Miš,130787,5,653935
690,2025-08-14,Niš,Monitor,50417,8,403336
691,2025-04-13,Novi Sad,Monitor,129572,8,1036576
692,2025-01-16,Kragujevac,Slušalice,142154,1,142154
693,2025-10-25,Novi Sad,Miš,82079,7,574553
694,2025-11-29,Novi Sad,Tastatura,26085,8,208680
695,2025-08-21,Beograd,Slušalice,27236,3,81708
696,2025-09-07,Niš,Miš,149722,2,299444
697,2025-11-04,Kragujevac,Slušalice,16559,2,33118
698,2025-05-08,Niš,Miš,57778,2,115556
699,2025-01-23,Niš,Laptop,19115,2,38230
700,2025-07-11,Kragujevac,Laptop,84407,7,590849
701,2025-10-23,Beograd,Laptop,128614,3,385842
702,2025-05-22,Novi Sad,Laptop,115278,8,922224
703,2025-08-19,Kragujevac,Laptop,36809,6,220854
704,2025-02-21,Novi Sad,Laptop,91767,8,734136
705,2025-07-06,Novi Sad,Miš,148160,4,592640
706,2025-03-27,Niš,Miš,31364,8,250912
707,2025-12-21,Beograd,Monitor,3095,6,18570
708,2025-07-13,Beograd,Miš,64906,3,194718
709,2025-01-22,Beograd,Laptop,20552,7,143864
710,2025-12-02,Novi Sad,Slušalice,33025,6,198150
711,2025-12-28,Novi Sad,Slušalice,139065,7,973455
712,2025-01-05,Niš,Slušalice,5859,9,52731
713,2025-04-30,Beograd,Monitor,127991,5,639955
714,2025-09-13,Beograd,Tastatura,87397,7,611779
715,2025-02-05,Beograd,Monitor,41818,6,250908
716,2025-05-29,Niš,Miš,44976,9,404784
717,2025-10-12,Beograd,Slušalice,140882,9,1267938
718,2025-10-31,Beograd,Laptop,95345,4,381380
719,2025-09-13,Niš,Monitor,115318,6,691908
720,2025-05-03,Novi Sad,Monitor,50350,3,151050
721,2025-12-25,Beograd,Miš,26795,7,187565
722,2025-12-29,Beograd,Slušalice,70684,8,565472
723,2025-12-21,Niš,Laptop,133708,6,802248
724,2025-01-15,Beograd,Tastatura,56435,5,282175
725,2025-04-17,Kragujevac,Monitor,32244,2,64488
726,2025-09-08,Novi Sad,Slušalice,16157,4,64628
727,2025-10-17,Kragujevac,Miš,15961,9,143649
728,2025-09-04,Kragujevac,Slušalice,129662,9,1166958
729,2025-08-21,Kragujevac,Laptop,59768,2,119536
730,2025-01-22,Beograd,Monitor,5088,9,45792
731,2025-11-25,Beograd,Slušalice,81502,9,733518
732,2025-05-07,Beograd,Monitor,144107,4,576428
733,2025-07-30,Kragujevac,Miš,39641,1,39641
734,2025-04-15,Novi Sad,Monitor,14448,9,130032
735,2025-05-09,Beograd,Tastatura,18511,9,166599
736,2025-03-19,Beograd,Miš,61211,1,61211
737,2025-05-11,Novi Sad,Miš,125833,3,377499
738,2025-09-28,Kragujevac,Tastatura,46592,6,279552
739,2025-03-26,Kragujevac,Monitor,73427,8,587416
740,2025-06-02,Kragujevac,Monitor,93781,6,562686
741,2025-08-26,Beograd,Slušalice,92859,3,278577
742,2025-11-29,Kragujevac,Monitor,66331,5,331655
743,2025-01-10,Niš,Laptop,11515,2,23030
744,2025-03-16,Beograd,Slušalice,143639,1,143639
745,2025-10-10,Beograd,Tastatura,26269,7,183883
746,2025-01-30,Kragujevac,Slušalice,102260,7,715820
747,2025-01-01,Novi Sad,Monitor,135025,6,810150
748,2025-11-18,Novi Sad,Slušalice,74495,9,670455
749,2025-10-30,Novi Sad,Laptop,55036,7,385252
750,2025-05-13,Niš,Miš,147834,4,591336
751,2025-09-10,Kragujevac,Miš,3551,3,10653
752,2025-10-20,Kragujevac,Tastatura,35428,3,106284
753,2025-08-21,Beograd,Laptop,133327,6,799962
754,2025-05-06,Beograd,Monitor,135059,3,405177
755,2025-05-19,Niš,Slušalice,110293,1,110293
756,2025-06-09,Kragujevac,Tastatura,91428,4,365712
757,2025-12-30,Beograd,Monitor,115394,8,923152
758,2025-03-10,Kragujevac,Miš,17763,7,124341
759,2025-09-27,Novi Sad,Monitor,91513,2,183026
760,2025-05-06,Kragujevac,Laptop,94738,7,663166
761,2025-06-21,Novi Sad,Tastatura,145686,7,1019802
762,2025-04-03,Niš,Monitor,134955,6,809730
763,2025-11-27,Niš,Tastatura,127859,2,255718
764,2025-09-03,Kragujevac,Slušalice,81917,2,163834
765,2025-07-26,Niš,Monitor,63643,2,127286
766,2025-04-21,Novi Sad,Laptop,133354,4,533416
767,2025-07-21,Novi Sad,Slušalice,86813,3,260439
768,2025-06-04,Beograd,Monitor,71754,3,215262
769,2025-06-27,Niš,Laptop,84372,9,759348
770,2025-04-28,Novi Sad,Monitor,31262,8,250096
771,2025-04-27,Kragujevac,Laptop,75556,1,75556
772,2025-10-16,Kragujevac,Miš,26857,7,187999
773,2025-07-05,Beograd,Miš,43103,8,344824
774,2025-08-29,Novi Sad,Laptop,112022,4,448088
775,2025-04-26,Novi Sad,Laptop,148993,2,297986
776,2025-08-02,Novi Sad,Miš,109421,1,109421
777,2025-05-18,Kragujevac,Miš,58443,3,175329
778,2025-05-17,Beograd,Tastatura,3881,4,15524
779,2025-08-22,Beograd,Tastatura,70320,7,492240
780,2025-09-18,Kragujevac,Monitor,117977,8,943816
781,2025-07-13,Beograd,Monitor,8142,8,65136
782,2025-04-16,Niš,Laptop,68202,6,409212
783,2025-06-14,Novi Sad,Monitor,141200,5,706000
784,2025-01-24,Beograd,Miš,119326,6,715956
785,2025-06-12,Kragujevac,Monitor,132170,4,528680
786,2025-10-10,Novi Sad,Laptop,134395,3,403185
787,2025-11-12,Beograd,Laptop,20357,3,61071
788,2025-09-21,Novi Sad,Monitor,92393,2,184786
789,2025-06-05,Novi Sad,Monitor,38807,5,194035
790,2025-04-02,Kragujevac,Miš,36594,3,109782
791,2025-07-09,Niš,Slušalice,51472,4,205888
792,2025-12-20,Novi Sad,Monitor,42430,2,84860
793,2025-12-11,Novi Sad,Tastatura,126210,1,126210
794,2025-01-06,Novi Sad,Laptop,121972,4,487888
795,2025-05-16,Novi Sad,Laptop,19766,5,98830
796,2025-11-30,Niš,Miš,86591,1,86591
797,2025-01-20,Kragujevac,Monitor,75108,1,75108
798,2025-08-13,Niš,Tastatura,77921,8,623368
799,2025-07-06,Novi Sad,Monitor,146570,4,586280
800,2025-04-05,Beograd,Slušalice,98836,7,691852
801,2025-06-17,Novi Sad,Monitor,126295,2,252590
802,2025-08-16,Novi Sad,Monitor,29096,4,116384
803,2025-05-29,Niš,Laptop,142065,4,568260
804,2025-06-19,Novi Sad,Miš,89575,4,358300
805,2025-09-25,Kragujevac,Tastatura,59140,4,236560
806,2025-04-13,Kragujevac,Tastatura,128925,1,128925
807,2025-10-06,Niš,Laptop,101695,3,305085
808,2025-03-29,Kragujevac,Tastatura,90592,6,543552
809,2025-01-07,Beograd,Tastatura,90496,1,90496
810,2025-06-20,Niš,Tastatura,131279,8,1050232
811,2025-10-29,Niš,Tastatura,6441,9,57969
812,2025-07-03,Novi Sad,Tastatura,17980,9,161820
813,2025-07-30,Niš,Miš,73685,4,294740
814,2025-02-19,Kragujevac,Miš,74742,8,597936
815,2025-01-26,Niš,Tastatura,22147,2,44294
816,2025-04-27,Niš,Laptop,63190,1,63190
817,2025-01-30,Novi Sad,Laptop,11770,6,70620
818,2025-04-18,Kragujevac,Laptop,38814,5,194070
819,2025-02-12,Kragujevac,Laptop,115239,9,1037151
820,2025-03-28,Beograd,Slušalice,9048,1,9048
821,2025-07-09,Novi Sad,Slušalice,74065,2,148130
822,2025-01-28,Beograd,Monitor,33202,4,132808
823,2025-08-01,Novi Sad,Slušalice,85241,7,596687
824,2025-06-03,Kragujevac,Tastatura,65550,9,589950
825,2025-05-08,Niš,Tastatura,144701,1,144701
826,2025-01-11,Kragujevac,Miš,146652,5,733260
827,2025-11-20,Beograd,Tastatura,45758,5,228790
828,2025-06-12,Kragujevac,Laptop,29014,7,203098
829,2025-05-14,Kragujevac,Laptop,131704,7,921928
830,2025-12-14,Niš,Laptop,87909,4,351636
831,2025-04-15,Niš,Slušalice,74969,5,374845
832,2025-03-31,Niš,Miš,88811,8,710488
833,2025-06-19,Kragujevac,Miš,26342,8,210736
834,2025-03-15,Beograd,Laptop,119811,2,239622
835,2025-10-04,Beograd,Tastatura,121711,1,121711
836,2025-03-18,Niš,Monitor,14733,3,44199
837,2025-03-06,Kragujevac,Miš,9657,7,67599
838,2025-01-20,Niš,Laptop,25418,2,50836
839,2025-06-11,Beograd,Laptop,47755,3,143265
840,2025-06-05,Niš,Slušalice,11270,6,67620
841,2025-02-12,Niš,Laptop,45659,5,228295
842,2025-11-19,Beograd,Tastatura,34780,8,278240
843,2025-02-22,Niš,Monitor,109306,3,327918
844,2025-04-10,Kragujevac,Monitor,108086,5,540430
845,2025-03-06,Kragujevac,Laptop,42128,4,168512
846,2025-07-26,Kragujevac,Monitor,99343,5,496715
847,2025-09-02,Niš,Slušalice,90531,6,543186
848,2025-08-21,Niš,Slušalice,28734,2,57468
849,2025-02-09,Novi Sad,Miš,136165,3,408495
850,2025-12-12,Kragujevac,Laptop,135411,9,1218699
851,2025-06-06,Beograd,Monitor,86299,6,517794
852,2025-09-23,Niš,Monitor,53228,2,106456
853,2025-01-01,Niš,Slušalice,38423,6,230538
854,2025-05-08,Kragujevac,Slušalice,78032,7,546224
855,2025-10-31,Kragujevac,Monitor,94076,9,846684
856,2025-01-26,Novi Sad,Miš,140145,2,280290
857,2025-01-11,Beograd,Slušalice,38112,3,114336
858,2025-05-31,Kragujevac,Tastatura,71242,7,498694
859,2025-03-18,Novi Sad,Tastatura,118278,3,354834
860,2025-03-29,Kragujevac,Slušalice,35357,1,35357
861,2025-10-01,Kragujevac,Slušalice,42843,4,171372
862,2025-07-23,Beograd,Laptop,10955,8,87640
863,2025-10-26,Kragujevac,Miš,36294,3,108882
864,2025-10-13,Niš,Laptop,54510,1,54510
865,2025-04-14,Beograd,Miš,23390,7,163730
866,2025-12-28,Novi Sad,Monitor,65408,8,523264
867,2025-03-24,Niš,Slušalice,61549,4,246196
868,2025-05-04,Beograd,Slušalice,136192,2,272384
869,2025-10-20,Beograd,Tastatura,131252,7,918764
870,2025-06-29,Beograd,Miš,103678,6,622068
871,2025-08-12,Beograd,Laptop,50274,7,351918
872,2025-05-20,Beograd,Miš,143117,2,286234
873,2025-12-19,Novi Sad,Laptop,128228,7,897596
874,2025-02-16,Kragujevac,Laptop,117026,1,117026
875,2025-08-21,Niš,Tastatura,24314,7,170198
876,2025-02-08,Niš,Monitor,20540,5,102700
877,2025-06-15,Beograd,Miš,21199,7,148393
878,2025-11-02,Beograd,Tastatura,143849,7,1006943
879,2025-10-21,Beograd,Laptop,94154,2,188308
880,2025-10-25,Niš,Miš,47992,7,335944
881,2025-11-21,Kragujevac,Miš,17696,7,123872
882,2025-09-19,Niš,Monitor,16836,8,134688
883,2025-08-11,Beograd,Laptop,22603,8,180824
884,2025-09-24,Kragujevac,Laptop,50905,5,254525
885,2025-10-01,Kragujevac,Laptop,19007,1,19007
886,2025-12-10,Kragujevac,Tastatura,49255,1,49255
887,2025-07-27,Niš,Monitor,87936,2,175872
888,2025-10-05,Novi Sad,Laptop,43874,5,219370
889,2025-06-09,Kragujevac,Laptop,40803,6,244818
890,2025-07-15,Beograd,Slušalice,36169,5,180845
891,2025-03-30,Novi Sad,Slušalice,17589,2,35178
892,2025-06-04,Niš,Slušalice,39280,9,353520
893,2025-03-04,Niš,Slušalice,8156,3,24468
894,2025-05-17,Niš,Slušalice,39235,5,196175
895,2025-03-22,Beograd,Monitor,144175,5,720875
896,2025-08-11,Beograd,Tastatura,126954,4,507816
897,2025-03-04,Novi Sad,Monitor,135698,9,1221282
898,2025-06-11,Kragujevac,Tastatura,72587,4,290348
899,2025-10-16,Novi Sad,Slušalice,3720,7,26040
900,2025-03-29,Beograd,Laptop,43137,7,301959
901,2025-12-09,Novi Sad,Slušalice,80667,4,322668
902,2025-03-31,Beograd,Tastatura,49863,9,448767
903,2025-12-31,Niš,Laptop,98611,2,197222
904,2025-08-02,Beograd,Slušalice,73013,7,511091
905,2025-05-27,Novi Sad,Laptop,55870,3,167610
906,2025-01-11,Novi Sad,Monitor,106908,7,748356
907,2025-06-02,Novi Sad,Laptop,79472,5,397360
908,2025-03-19,Novi Sad,Miš,71307,4,285228
909,2025-06-13,Beograd,Miš,49165,7,344155
910,2025-12-31,Novi Sad,Slušalice,39656,8,317248
911,2025-06-16,Niš,Monitor,107832,3,323496
912,2025-11-18,Novi Sad,Laptop,121654,6,729924
913,2025-07-13,Niš,Tastatura,59203,7,414421
914,2025-12-23,Beograd,Miš,24440,7,171080
915,2025-02-27,Beograd,Slušalice,33716,6,202296
916,2025-10-20,Kragujevac,Laptop,136993,6,821958
917,2025-10-26,Kragujevac,Miš,96791,2,193582
918,2025-06-24,Niš,Laptop,26900,1,26900
919,2025-05-08,Niš,Slušalice,89411,5,447055
920,2025-06-07,Niš,Tastatura,81029,7,567203
921,2025-11-01,Beograd,Laptop,38000,3,114000
922,2025-12-05,Niš,Laptop,47524,1,47524
923,2025-02-27,Beograd,Slušalice,140827,9,1267443
924,2025-01-12,Novi Sad,Miš,37688,7,263816
925,2025-10-28,Kragujevac,Tastatura,84631,8,677048
926,2025-07-27,Beograd,Slušalice,38631,2,77262
927,2025-06-23,Niš,Tastatura,42671,5,213355
928,2025-09-05,Niš,Monitor,58106,8,464848
929,2025-02-10,Novi Sad,Tastatura,54629,3,163887
930,2025-10-01,Beograd,Monitor,60959,5,304795
931,2025-06-23,Niš,Tastatura,80304,6,481824
932,2025-04-21,Kragujevac,Monitor,93916,4,375664
933,2025-08-09,Novi Sad,Slušalice,12473,4,49892
934,2025-12-17,Novi Sad,Miš,2669,8,21352
935,2025-04-21,Novi Sad,Tastatura,25658,4,102632
936,2025-10-08,Beograd,Laptop,47434,4,189736
937,2025-02-04,Beograd,Miš,86919,6,521514
938,2025-06-05,Novi Sad,Slušalice,10546,1,10546
939,2025-04-01,Niš,Slušalice,121292,3,363876
940,2025-07-18,Novi Sad,Laptop,35710,1,35710
941,2025-09-02,Niš,Monitor,115723,4,462892
942,2025-03-13,Beograd,Slušalice,103566,5,517830
943,2025-05-27,Niš,Monitor,94691,7,662837
944,2025-11-06,Niš,Monitor,22431,1,22431
945,2025-06-30,Niš,Miš,35239,4,140956
946,2025-03-10,Novi Sad,Monitor,101263,5,506315
947,2025-12-14,Novi Sad,Tastatura,142119,7,994833
948,2025-01-30,Beograd,Laptop,92997,1,92997
949,2025-11-12,Beograd,Slušalice,67018,7,469126
950,2025-07-18,Niš,Laptop,68705,5,343525
951,2025-07-04,Novi Sad,Laptop,144259,3,432777
952,2025-12-16,Novi Sad,Monitor,144790,1,144790
953,2025-08-04,Niš,Monitor,68347,8,546776
954,2025-03-22,Kragujevac,Laptop,27702,3,83106
955,2025-12-11,Kragujevac,Monitor,56591,7,396137
956,2025-01-13,Niš,Laptop,128370,2,256740
957,2025-01-05,Novi Sad,Tastatura,66066,5,330330
958,2025-02-20,Kragujevac,Monitor,120473,9,1084257
959,2025-11-03,Niš,Laptop,137920,3,413760
960,2025-03-20,Beograd,Slušalice,2364,7,16548
961,2025-09-19,Kragujevac,Laptop,96500,5,482500
962,2025-10-26,Beograd,Tastatura,22603,1,22603
963,2025-11-08,Niš,Slušalice,141760,2,283520
964,2025-04-10,Novi Sad,Tastatura,147344,8,1178752
965,2025-12-14,Niš,Monitor,78063,8,624504
966,2025-05-05,Kragujevac,Monitor,116066,8,928528
967,2025-01-21,Beograd,Miš,17723,8,141784
968,2025-10-17,Niš,Monitor,64865,4,259460
969,2025-01-14,Novi Sad,Miš,114507,7,801549
970,2025-04-20,Kragujevac,Laptop,104725,8,837800
971,2025-04-19,Beograd,Miš,137209,9,1234881
972,2025-06-29,Niš,Miš,144636,5,723180
973,2025-11-15,Novi Sad,Slušalice,11958,5,59790
974,2025-11-23,Beograd,Monitor,95578,9,860202
975,2025-05-17,Kragujevac,Slušalice,147934,2,295868
976,2025-05-20,Beograd,Miš,23505,4,94020
977,2025-05-04,Novi Sad,Tastatura,132539,4,530156
978,2025-09-10,Kragujevac,Laptop,18671,6,112026
979,2025-04-15,Novi Sad,Laptop,20421,4,81684
980,2025-10-15,Niš,Laptop,136431,3,409293
981,2025-04-27,Kragujevac,Monitor,78226,9,704034
982,2025-05-12,Kragujevac,Tastatura,85432,1,85432
983,2025-12-18,Novi Sad,Monitor,127686,1,127686
984,2025-08-19,Niš,Miš,146260,1,146260
985,2025-03-02,Kragujevac,Monitor,140906,6,845436
986,2025-04-26,Niš,Monitor,142338,7,996366
987,2025-02-20,Niš,Laptop,90593,4,362372
988,2025-09-10,Kragujevac,Slušalice,104590,4,418360
989,2025-08-25,Kragujevac,Slušalice,120776,9,1086984
990,2025-02-18,Novi Sad,Miš,148291,1,148291
991,2025-10-08,Niš,Miš,49203,4,196812
992,2025-12-04,Novi Sad,Laptop,45521,2,91042
993,2025-04-04,Novi Sad,Tastatura,133535,3,400605
994,2025-07-24,Niš,Laptop,21211,3,63633
995,2025-10-03,Beograd,Tastatura,64432,5,322160
996,2025-07-31,Niš,Tastatura,143931,7,1007517
