Datum,Grad,Proizvod,Cena_RSD,Količina
2025-08-17,Novi Sad,Slušalice,140430,9
2025-01-14,Beograd,Laptop,118664,4
2025-01-23,Kragujevac,Miš,31396,7
2025-02-26,Kragujevac,Monitor,9598,1
2025-04-21,Beograd,Slušalice,46625,5
2025-05-14,Niš,Laptop,87526,1
2025-07-28,Kragujevac,Slušalice,39363,1
2025-01-26,Niš,Tastatura,117931,8
2025-12-08,Beograd,Tastatura,2899,8
2025-10-02,Niš,Slušalice,104187,1
2025-12-07,Novi Sad,Monitor,83617,7
2025-06-29,Kragujevac,Laptop,38434,4
2025-07-08,Novi Sad,Monitor,106059,7
2025-06-29,Niš,Laptop,33917,4
2025-10-26,Beograd,Miš,142659,2
2025-10-28,Niš,Miš,26293,5
2025-10-21,Beograd,Slušalice,19031,1
2025-01-02,Niš,Miš,46040,6
2025-02-11,Beograd,Miš,41548,3
2025-06-17,Beograd,Monitor,94332,4
2025-05-28,Beograd,Tastatura,134859,5
2025-10-26,Niš,Slušalice,95298,7
2025-05-18,Beograd,Miš,63596,1
2025-07-07,Novi Sad,Tastatura,112467,7
2025-02-28,Niš,Slušalice,141566,3
2025-12-09,Novi Sad,Slušalice,51287,1
2025-07-18,Niš,Slušalice,42167,9
2025-03-15,Beograd,Monitor,62777,6
2025-02-02,Novi Sad,Slušalice,129820,4
2025-07-22,Kragujevac,Monitor,59655,5
2025-08-19,Niš,Slušalice,115593,5
2025-04-23,Kragujevac,Monitor,52796,7
2025-08-10,Beograd,Laptop,112197,4
2025-10-03,Novi Sad,Slušalice,133223,6
2025-06-20,Niš,Monitor,71033,2
2025-11-27,Niš,Tastatura,119069,4
2025-09-24,Niš,Slušalice,66722,9
2025-04-14,Niš,Tastatura,88243,5
2025-03-11,Kragujevac,Slušalice,2517,1
2025-07-19,Beograd,Laptop,25336,4
2025-09-09,Niš,Slušalice,104045,7
2025-07-15,Niš,Laptop,29555,3
2025-06-30,Niš,Tastatura,85824,4
2025-05-20,Kragujevac,Tastatura,52346,1
2025-10-01,Novi Sad,Slušalice,8394,5
2025-09-22,Beograd,Miš,90478,2
2025-02-13,Beograd,Monitor,75694,9
2025-07-04,Niš,Laptop,120959,8
2025-04-11,Kragujevac,Laptop,138907,9
2025-09-20,Kragujevac,Tastatura,4362,1
2025-02-19,Novi Sad,Laptop,81668,2
2025-12-24,Beograd,Tastatura,30824,1
2025-04-13,Niš,Miš,119834,5
2025-04-21,Niš,Laptop,31173,4
2025-12-20,Novi Sad,Tastatura,9765,8
2025-02-03,Novi Sad,Miš,6548,2
2025-08-21,Beograd,Monitor,112452,3
2025-10-26,Kragujevac,Monitor,45655,9
2025-06-02,Kragujevac,Slušalice,38787,1
2025-06-15,Beograd,Tastatura,14880,7
2025-02-01,Novi Sad,Tastatura,112371,5
2025-08-27,Niš,Tastatura,136484,9
2025-10-11,Kragujevac,Monitor,138065,7
2025-12-21,Niš,Miš,28409,4
2025-08-26,Kragujevac,Slušalice,92312,5
2025-08-12,Niš,Laptop,84090,3
2025-07-21,Niš,Monitor,53464,8
2025-07-14,Novi Sad,Monitor,128618,4
2025-02-03,Novi Sad,Miš,49830,3
2025-03-11,Beograd,Monitor,7950,3
2025-03-25,Niš,Tastatura,132706,6
2025-08-24,Kragujevac,Monitor,134370,7
2025-04-16,Novi Sad,Tastatura,8928,5
2025-03-17,Beograd,Slušalice,61434,1
2025-10-19,Novi Sad,Slušalice,66773,1
2025-06-17,Novi Sad,Monitor,17544,6
2025-04-06,Beograd,Miš,122401,8
2025-03-30,Niš,Tastatura,114269,4
2025-03-22,Beograd,Tastatura,86934,2
2025-12-24,Novi Sad,Miš,84159,7
2025-01-30,Novi Sad,Miš,99744,8
2025-04-12,Beograd,Miš,130787,5
2025-08-14,Niš,Monitor,50417,8
2025-04-13,Novi Sad,Monitor,129572,8
2025-01-16,Kragujevac,Slušalice,142154,1
2025-10-25,Novi Sad,Miš,82079,7
2025-11-29,Novi Sad,Tastatura,26085,8
2025-08-21,Beograd,Slušalice,27236,3
2025-09-07,Niš,Miš,149722,2
2025-11-04,Kragujevac,Slušalice,16559,2
2025-05-08,Niš,Miš,57778,2
2025-01-23,Niš,Laptop,19115,2
2025-07-11,Kragujevac,Laptop,84407,7
2025-10-23,Beograd,Laptop,128614,3
2025-05-22,Novi Sad,Laptop,115278,8
2025-08-19,Kragujevac,Laptop,36809,6
2025-02-21,Novi Sad,Laptop,91767,8
2025-07-06,Novi Sad,Miš,148160,4
2025-03-27,Niš,Miš,31364,8
2025-12-21,Beograd,Monitor,3095,6
2025-07-13,Beograd,Miš,64906,3
2025-01-22,Beograd,Laptop,20552,7
2025-12-02,Novi Sad,Slušalice,33025,6
2025-12-28,Novi Sad,Slušalice,139065,7
2025-01-05,Niš,Slušalice,5859,9
2025-04-30,Beograd,Monitor,127991,5
2025-09-13,Beograd,Tastatura,87397,7
2025-02-05,Beograd,Monitor,41818,6
2025-05-29,Niš,Miš,44976,9
2025-10-12,Beograd,Slušalice,140882,9
2025-10-31,Beograd,Laptop,95345,4
2025-09-13,Niš,Monitor,115318,6
2025-05-03,Novi Sad,Monitor,50350,3
2025-12-25,Beograd,Miš,26795,7
2025-12-29,Beograd,Slušalice,70684,8
2025-12-21,Niš,Laptop,133708,6
2025-01-15,Beograd,Tastatura,56435,5
2025-04-17,Kragujevac,Monitor,32244,2
2025-09-08,Novi Sad,Slušalice,16157,4
2025-10-17,Kragujevac,Miš,15961,9
2025-09-04,Kragujevac,Slušalice,129662,9
2025-08-21,Kragujevac,Laptop,59768,2
2025-01-22,Beograd,Monitor,5088,9
2025-11-25,Beograd,Slušalice,81502,9
2025-05-07,Beograd,Monitor,144107,4
2025-07-30,Kragujevac,Miš,39641,1
2025-04-15,Novi Sad,Monitor,14448,9
2025-05-09,Beograd,Tastatura,18511,9
2025-03-19,Beograd,Miš,61211,1
2025-05-11,Novi Sad,Miš,125833,3
2025-09-28,Kragujevac,Tastatura,46592,6
2025-03-26,Kragujevac,Monitor,73427,8
2025-06-02,Kragujevac,Monitor,93781,6
2025-08-26,Beograd,Slušalice,92859,3
2025-11-29,Kragujevac,Monitor,66331,5
2025-01-10,Niš,Laptop,11515,2
2025-03-16,Beograd,Slušalice,143639,1
2025-10-10,Beograd,Tastatura,26269,7
2025-01-30,Kragujevac,Slušalice,102260,7
2025-01-01,Novi Sad,Monitor,135025,6
2025-11-18,Novi Sad,Slušalice,74495,9
2025-10-30,Novi Sad,Laptop,55036,7
2025-05-13,Niš,Miš,147834,4
2025-09-10,Kragujevac,Miš,3551,3
2025-10-20,Kragujevac,Tastatura,35428,3
2025-08-21,Beograd,Laptop,133327,6
2025-05-06,Beograd,Monitor,135059,3
2025-05-19,Niš,Slušalice,110293,1
2025-06-09,Kragujevac,Tastatura,91428,4
2025-12-30,Beograd,Monitor,115394,8
2025-03-10,Kragujevac,Miš,17763,7
2025-09-27,Novi Sad,Monitor,91513,2
2025-05-06,Kragujevac,Laptop,94738,7
2025-06-21,Novi Sad,Tastatura,145686,7
2025-04-03,Niš,Monitor,134955,6
2025-11-27,Niš,Tastatura,127859,2
2025-09-03,Kragujevac,Slušalice,81917,2
2025-07-26,Niš,Monitor,63643,2
2025-04-21,Novi Sad,Laptop,133354,4
2025-07-21,Novi Sad,Slušalice,86813,3
2025-06-04,Beograd,Monitor,71754,3
2025-06-27,Niš,Laptop,84372,9
2025-04-28,Novi Sad,Monitor,31262,8
2025-04-27,Kragujevac,Laptop,75556,1
2025-10-16,Kragujevac,Miš,26857,7
2025-07-05,Beograd,Miš,43103,8
2025-08-29,Novi Sad,Laptop,112022,4
2025-04-26,Novi Sad,Laptop,148993,2
2025-08-02,Novi Sad,Miš,109421,1
2025-05-18,Kragujevac,Miš,58443,3
2025-05-17,Beograd,Tastatura,3881,4
2025-08-22,Beograd,Tastatura,70320,7
2025-09-18,Kragujevac,Monitor,117977,8
2025-07-13,Beograd,Monitor,8142,8
2025-04-16,Niš,Laptop,68202,6
2025-06-14,Novi Sad,Monitor,141200,5
2025-01-24,Beograd,Miš,119326,6
2025-06-12,Kragujevac,Monitor,132170,4
2025-10-10,Novi Sad,Laptop,134395,3
2025-11-12,Beograd,Laptop,20357,3
2025-09-21,Novi Sad,Monitor,92393,2
2025-06-05,Novi Sad,Monitor,38807,5
2025-04-02,Kragujevac,Miš,36594,3
2025-07-09,Niš,Slušalice,51472,4
2025-12-20,Novi Sad,Monitor,42430,2
2025-12-11,Novi Sad,Tastatura,126210,1
2025-01-06,Novi Sad,Laptop,121972,4
2025-05-16,Novi Sad,Laptop,19766,5
2025-11-30,Niš,Miš,86591,1
2025-01-20,Kragujevac,Monitor,75108,1
2025-08-13,Niš,Tastatura,77921,8
2025-07-06,Novi Sad,Monitor,146570,4
2025-04-05,Beograd,Slušalice,98836,7
2025-06-17,Novi Sad,Monitor,126295,2
2025-08-16,Novi Sad,Monitor,29096,4
2025-05-29,Niš,Laptop,142065,4
2025-06-19,Novi Sad,Miš,89575,4
2025-09-25,Kragujevac,Tastatura,59140,4
2025-04-13,Kragujevac,Tastatura,128925,1
2025-10-06,Niš,Laptop,101695,3
2025-03-29,Kragujevac,Tastatura,90592,6
2025-01-07,Beograd,Tastatura,90496,1
2025-06-20,Niš,Tastatura,131279,8
2025-10-29,Niš,Tastatura,6441,9
2025-07-03,Novi Sad,Tastatura,17980,9
2025-07-30,Niš,Miš,73685,4
2025-02-19,Kragujevac,Miš,74742,8
2025-01-26,Niš,Tastatura,22147,2
2025-04-27,Niš,Laptop,63190,1
2025-01-30,Novi Sad,Laptop,11770,6
2025-04-18,Kragujevac,Laptop,38814,5
2025-02-12,Kragujevac,Laptop,115239,9
2025-03-28,Beograd,Slušalice,9048,1
2025-07-09,Novi Sad,Slušalice,74065,2
2025-01-28,Beograd,Monitor,33202,4
2025-08-01,Novi Sad,Slušalice,85241,7
2025-06-03,Kragujevac,Tastatura,65550,9
2025-05-08,Niš,Tastatura,144701,1
2025-01-11,Kragujevac,Miš,146652,5
2025-11-20,Beograd,Tastatura,45758,5
2025-06-12,Kragujevac,Laptop,29014,7
2025-05-14,Kragujevac,Laptop,131704,7
2025-12-14,Niš,Laptop,87909,4
2025-04-15,Niš,Slušalice,74969,5
2025-03-31,Niš,Miš,88811,8
2025-06-19,Kragujevac,Miš,26342,8
2025-03-15,Beograd,Laptop,119811,2
2025-10-04,Beograd,Tastatura,121711,1
2025-03-18,Niš,Monitor,14733,3
2025-03-06,Kragujevac,Miš,9657,7
2025-01-20,Niš,Laptop,25418,2
2025-06-11,Beograd,Laptop,47755,3
2025-06-05,Niš,Slušalice,11270,6
2025-02-12,Niš,Laptop,45659,5
2025-11-19,Beograd,Tastatura,34780,8
2025-02-22,Niš,Monitor,109306,3
2025-04-10,Kragujevac,Monitor,108086,5
2025-03-06,Kragujevac,Laptop,42128,4
2025-07-26,Kragujevac,Monitor,99343,5
2025-09-02,Niš,Slušalice,90531,6
2025-08-21,Niš,Slušalice,28734,2
2025-02-09,Novi Sad,Miš,136165,3
2025-12-12,Kragujevac,Laptop,135411,9
2025-06-06,Beograd,Monitor,86299,6
2025-09-23,Niš,Monitor,53228,2
2025-01-01,Niš,Slušalice,38423,6
2025-05-08,Kragujevac,Slušalice,78032,7
2025-10-31,Kragujevac,Monitor,94076,9
2025-01-26,Novi Sad,Miš,140145,2
2025-01-11,Beograd,Slušalice,38112,3
2025-05-31,Kragujevac,Tastatura,71242,7
2025-03-18,Novi Sad,Tastatura,118278,3
2025-03-29,Kragujevac,Slušalice,35357,1
2025-10-01,Kragujevac,Slušalice,42843,4
2025-07-23,Beograd,Laptop,10955,8
2025-10-26,Kragujevac,Miš,36294,3
2025-10-13,Niš,Laptop,54510,1
2025-04-14,Beograd,Miš,23390,7
2025-12-28,Novi Sad,Monitor,65408,8
2025-03-24,Niš,Slušalice,61549,4
2025-05-04,Beograd,Slušalice,136192,2
2025-10-20,Beograd,Tastatura,131252,7
2025-06-29,Beograd,Miš,103678,6
2025-08-12,Beograd,Laptop,50274,7
2025-05-20,Beograd,Miš,143117,2
2025-12-19,Novi Sad,Laptop,128228,7
2025-02-16,Kragujevac,Laptop,117026,1
2025-08-21,Niš,Tastatura,24314,7
2025-02-08,Niš,Monitor,20540,5
2025-06-15,Beograd,Miš,21199,7
2025-11-02,Beograd,Tastatura,143849,7
2025-10-21,Beograd,Laptop,94154,2
2025-10-25,Niš,Miš,47992,7
2025-11-21,Kragujevac,Miš,17696,7
2025-09-19,Niš,Monitor,16836,8
2025-08-11,Beograd,Laptop,22603,8
2025-09-24,Kragujevac,Laptop,50905,5
2025-10-01,Kragujevac,Laptop,19007,1
2025-12-10,Kragujevac,Tastatura,49255,1
2025-07-27,Niš,Monitor,87936,2
2025-10-05,Novi Sad,Laptop,43874,5
2025-06-09,Kragujevac,Laptop,40803,6
2025-07-15,Beograd,Slušalice,36169,5
2025-03-30,Novi Sad,Slušalice,17589,2
2025-06-04,Niš,Slušalice,39280,9
2025-03-04,Niš,Slušalice,8156,3
2025-05-17,Niš,Slušalice,39235,5
2025-03-22,Beograd,Monitor,144175,5
2025-08-11,Beograd,Tastatura,126954,4
2025-03-04,Novi Sad,Monitor,135698,9
2025-06-11,Kragujevac,Tastatura,72587,4
2025-10-16,Novi Sad,Slušalice,3720,7
2025-03-29,Beograd,Laptop,43137,7
2025-12-09,Novi Sad,Slušalice,80667,4
2025-03-31,Beograd,Tastatura,49863,9
2025-12-31,Niš,Laptop,98611,2
2025-08-02,Beograd,Slušalice,73013,7
2025-05-27,Novi Sad,Laptop,55870,3
2025-01-11,Novi Sad,Monitor,106908,7
2025-06-02,Novi Sad,Laptop,79472,5
2025-03-19,Novi Sad,Miš,71307,4
2025-06-13,Beograd,Miš,49165,7
2025-12-31,Novi Sad,Slušalice,39656,8
2025-06-16,Niš,Monitor,107832,3
2025-11-18,Novi Sad,Laptop,121654,6
2025-07-13,Niš,Tastatura,59203,7
2025-12-23,Beograd,Miš,24440,7
2025-02-27,Beograd,Slušalice,33716,6
2025-10-20,Kragujevac,Laptop,136993,6
2025-10-26,Kragujevac,Miš,96791,2
2025-06-24,Niš,Laptop,26900,1
2025-05-08,Niš,Slušalice,89411,5
2025-06-07,Niš,Tastatura,81029,7
2025-11-01,Beograd,Laptop,38000,3
2025-12-05,Niš,Laptop,47524,1
2025-02-27,Beograd,Slušalice,140827,9
2025-01-12,Novi Sad,Miš,37688,7
2025-10-28,Kragujevac,Tastatura,84631,8
2025-07-27,Beograd,Slušalice,38631,2
2025-06-23,Niš,Tastatura,42671,5
2025-09-05,Niš,Monitor,58106,8
2025-02-10,Novi Sad,Tastatura,54629,3
2025-10-01,Beograd,Monitor,60959,5
2025-06-23,Niš,Tastatura,80304,6
2025-04-21,Kragujevac,Monitor,93916,4
2025-08-09,Novi Sad,Slušalice,12473,4
2025-12-17,Novi Sad,Miš,2669,8
2025-04-21,Novi Sad,Tastatura,25658,4
2025-10-08,Beograd,Laptop,47434,4
2025-02-04,Beograd,Miš,86919,6
2025-06-05,Novi Sad,Slušalice,10546,1
2025-04-01,Niš,Slušalice,121292,3
2025-07-18,Novi Sad,Laptop,35710,1
2025-09-02,Niš,Monitor,115723,4
2025-03-13,Beograd,Slušalice,103566,5
2025-05-27,Niš,Monitor,94691,7
2025-11-06,Niš,Monitor,22431,1
2025-06-30,Niš,Miš,35239,4
2025-03-10,Novi Sad,Monitor,101263,5
2025-12-14,Novi Sad,Tastatura,142119,7
2025-01-30,Beograd,Laptop,92997,1
2025-11-12,Beograd,Slušalice,67018,7
2025-07-18,Niš,Laptop,68705,5
2025-07-04,Novi Sad,Laptop,144259,3
2025-12-16,Novi Sad,Monitor,144790,1
2025-08-04,Niš,Monitor,68347,8
2025-03-22,Kragujevac,Laptop,27702,3
2025-12-11,Kragujevac,Monitor,56591,7
2025-01-13,Niš,Laptop,128370,2
2025-01-05,Novi Sad,Tastatura,66066,5
2025-02-20,Kragujevac,Monitor,120473,9
2025-11-03,Niš,Laptop,137920,3
2025-03-20,Beograd,Slušalice,2364,7
2025-09-19,Kragujevac,Laptop,96500,5
2025-10-26,Beograd,Tastatura,22603,1
2025-11-08,Niš,Slušalice,141760,2
2025-04-10,Novi Sad,Tastatura,147344,8
2025-12-14,Niš,Monitor,78063,8
2025-05-05,Kragujevac,Monitor,116066,8
2025-01-21,Beograd,Miš,17723,8
2025-10-17,Niš,Monitor,64865,4
2025-01-14,Novi Sad,Miš,114507,7
2025-04-20,Kragujevac,Laptop,104725,8
2025-04-19,Beograd,Miš,137209,9
2025-06-29,Niš,Miš,144636,5
2025-11-15,Novi Sad,Slušalice,11958,5
2025-11-23,Beograd,Monitor,95578,9
2025-05-17,Kragujevac,Slušalice,147934,2
2025-05-20,Beograd,Miš,23505,4
2025-05-04,Novi Sad,Tastatura,132539,4
2025-09-10,Kragujevac,Laptop,18671,6
2025-04-15,Novi Sad,Laptop,20421,4
2025-10-15,Niš,Laptop,136431,3
2025-04-27,Kragujevac,Monitor,78226,9
2025-05-12,Kragujevac,Tastatura,85432,1
2025-12-18,Novi Sad,Monitor,127686,1
2025-08-19,Niš,Miš,146260,1
2025-03-02,Kragujevac,Monitor,140906,6
2025-04-26,Niš,Monitor,142338,7
2025-02-20,Niš,Laptop,90593,4
2025-09-10,Kragujevac,Slušalice,104590,4
2025-08-25,Kragujevac,Slušalice,120776,9
2025-02-18,Novi Sad,Miš,148291,1
2025-10-08,Niš,Miš,49203,4
2025-12-04,Novi Sad,Laptop,45521,2
2025-04-04,Novi Sad,Tastatura,133535,3
2025-07-24,Niš,Laptop,21211,3
2025-10-03,Beograd,Tastatura,64432,5
2025-07-31,Niš,Tastatura,143931,7
2025-08-16,Novi Sad,Slušalice,104405,9
2025-04-17,Niš,Slušalice,97736,4
2025-04-17,Beograd,Tastatura,136231,3
